loss_pol_entpen,loss_kl,EpRewMean,TimeElapsed,EpLenMean,TimestepsSoFar,EpThisIter,loss_vf_loss,EpisodesSoFar,loss_pol_surr,loss_ent,ev_tdlam_before
0.0,0.004304403,-376402402580.2301,200.09962630271912,2001.0,100050,50,7.408715e+19,50,-0.0035265554,8.519878,0.0
0.0,0.0037103635,-238889679450.4579,403.8671612739563,2001.0,200100,50,1.7171202e+19,100,-0.0034918443,8.510654,-1.1920928955078125e-07
0.0,0.0042514238,-56830398516.42944,609.0071535110474,2001.0,300150,50,6.701556e+17,150,-0.0042108535,8.514266,0.0
0.0,0.0045347414,-9075758336.604544,811.4704666137695,2001.0,400200,50,8174636500000000.0,200,-0.003992144,8.506974,0.012894868850708008
0.0,0.004727349,-5003456389.265663,1014.08025431633,2001.0,500250,50,1.5234667e+16,250,-0.0042219744,8.498046,8.940696716308594e-07
0.0,0.0044108476,-7278337398.438335,1208.571340560913,2001.0,600300,50,8.0338215e+17,300,-0.003862403,8.482685,0.0
0.0,0.004142231,-14388823400.633404,1401.6874206066132,2001.0,700350,50,1.3771364e+18,350,-0.0041004973,8.489333,1.7881393432617188e-07
0.0,0.004548178,-10786957653.888313,1606.2324893474579,2001.0,800400,50,5914202000000000.0,400,-0.0045068567,8.483028,-1.1920928955078125e-07
0.0,0.0043629296,-3759049794.8060694,1815.502821445465,2001.0,900450,50,6.135265e+16,450,-0.0040073874,8.480897,1.7881393432617188e-07
0.0,0.003646856,-3920257694.344663,2025.3725712299347,2001.0,1000500,50,6105324000000000.0,500,-0.0043002986,8.474671,1.1920928955078125e-07
0.0,0.004937597,-3417794794.541101,2240.059027194977,2001.0,1100550,50,3.4347019e+16,550,-0.0048724995,8.463229,5.960464477539063e-08
0.0,0.0043868297,-3778358189.364711,2455.2451074123383,2001.0,1200600,50,8.853997e+16,600,-0.0047073327,8.453739,-2.384185791015625e-07
0.0,0.0047284467,-2990543992.0334783,2668.9790544509888,2001.0,1300650,50,1.6884508e+16,650,-0.004828192,8.448579,-9.5367431640625e-07
0.0,0.004727995,-1994976715.79426,2882.555619239807,2001.0,1400700,50,2927734500000000.0,700,-0.0049693673,8.456481,0.0
0.0,0.0041823294,-1765907216.4491596,3095.3569705486298,2001.0,1500750,50,2492887600000000.0,750,-0.004129408,8.452256,5.364418029785156e-07
0.0,0.0043646116,-1295793458.413745,3303.8749392032623,2001.0,1600800,50,2190895600000000.0,800,-0.00525577,8.45169,0.0
0.0,0.0049378243,-1185546328.0293756,3517.2672386169434,2001.0,1700850,50,5.3870224e+16,850,-0.005772968,8.454975,-0.003710508346557617
0.0,0.0046918984,-1539059788.6105688,3729.0586359500885,2001.0,1800900,50,4351351600000000.0,900,-0.0049914843,8.448818,1.1920928955078125e-07
0.0,0.0055485163,-2426574088.488125,3937.3792786598206,2001.0,1900950,50,4.762751e+16,950,-0.0053067054,8.437791,2.980232238769531e-07
0.0,0.0048620254,-2321166874.245002,4153.163435459137,2001.0,2001000,50,3.4601576e+17,1000,-0.0059956377,8.42372,1.1920928955078125e-07
0.0,0.006930798,-3488625299.2449813,4367.539042472839,2001.0,2101050,50,8274791400000000.0,1050,-0.006595166,8.415267,1.1920928955078125e-07
0.0,0.0055728196,-2834825862.3930097,4584.275857448578,2001.0,2201100,50,2582980700000000.0,1100,-0.005868787,8.408433,0.00431448221206665
0.0,0.005784811,-1007405847.4632164,4800.343263626099,2001.0,2301150,50,3.970621e+16,1150,-0.005939903,8.4147,5.543231964111328e-06
0.0,0.006011597,-1063283305.273394,5008.907124757767,2001.0,2401200,50,2009238600000000.0,1200,-0.006780889,8.4098215,-0.0008977651596069336
0.0,0.0063647046,-933828480.7406399,5223.551935195923,2001.0,2501250,50,5.193738e+16,1250,-0.006778243,8.404423,0.0003204941749572754
0.0,0.006048651,-3630507708.0996356,5433.826825618744,2001.0,2601300,50,6.6554236e+17,1300,-0.0052467203,8.3987875,0.001131892204284668
0.0,0.005630548,-6023021246.549241,5648.2505350112915,2001.0,2701350,50,2.0340718e+16,1350,-0.006434687,8.390929,-1.1920928955078125e-06
0.0,0.006735517,-3161375894.6211834,5861.548668384552,2001.0,2801400,50,4.5116823e+16,1400,-0.0069510434,8.388869,0.015484929084777832
0.0,0.0067930575,-1475598952.9067502,6073.990833044052,2001.0,2901450,50,5.4819803e+16,1450,-0.0067317095,8.382493,0.02582639455795288
0.0,0.006271481,-1576131520.85165,6287.530891418457,2001.0,3001500,50,4.2150264e+16,1500,-0.0066004205,8.364699,0.0030689239501953125
0.0,0.006365133,-1148245456.6979349,6501.46279001236,2001.0,3101550,50,4.6911186e+17,1550,-0.0074649523,8.359725,-0.012578964233398438
0.0,0.0077926232,-4421851443.945865,6718.331903934479,2001.0,3201600,50,9.218713e+16,1600,-0.0067299185,8.351551,0.0014664530754089355
0.0,0.0065303375,-6087022394.252188,6933.194559335709,2001.0,3301650,50,3.040534e+17,1650,-0.0076277805,8.356505,-0.021158337593078613
0.0,0.006780523,-4167291011.3612623,7147.787560224533,2001.0,3401700,50,1.2846507e+17,1700,-0.0077918847,8.346027,-0.0015240907669067383
0.0,0.005720688,-2886278543.547973,7361.802941560745,1997.27,3503378,51,1.7605633e+17,1751,-0.006395883,8.339843,0.0012344121932983398
0.0,0.007919028,-3073861015.861914,7576.465187072754,1997.27,3603428,50,1346563800000000.0,1801,-0.0067700488,8.338673,-0.00850069522857666
0.0,0.0061659347,-6995778867.535161,7790.245511293411,2001.0,3703478,50,8.434869e+17,1851,-0.0072947685,8.333332,0.0007805824279785156
0.0,0.0070463847,-6377021147.384355,8005.978969812393,2001.0,3803528,50,2.698138e+17,1901,-0.007420327,8.324493,3.826618194580078e-05
0.0,0.0076564834,-4531498787.032893,8216.422749757767,1999.28,3905407,51,1.1139483e+16,1952,-0.008605441,8.32466,-0.01734137535095215
0.0,0.008204738,-3682353849.720472,8434.763488531113,1999.28,4005457,50,1.2726765e+17,2002,-0.00774979,8.32245,-0.0028911828994750977
0.0,0.0077030174,-2286784309.0811787,8647.640498638153,2001.0,4105507,50,1.122243e+16,2052,-0.007816191,8.312923,1.1920928955078125e-07
