EpisodesSoFar,TimeElapsed,loss_pol_surr,loss_ent,EpLenMean,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpRewMean,ev_tdlam_before,EpThisIter
0,50.21057629585266,-0.003819917,8.516848,nan,0.004340318,0.0,0,50263453000000.0,nan,8.344650268554688e-07,0
42,102.09896564483643,-0.0038618278,8.513554,1983.0714285714287,0.004240699,0.0,83289,23016803000000.0,-269834429.4070048,1.6689300537109375e-06,42
82,154.06564116477966,-0.004433862,8.51053,2015.2317073170732,0.004027973,0.0,165249,4859596600000.0,-223450706.3983083,-4.7326087951660156e-05,40
122,206.72010350227356,-0.0041968236,8.497969,2021.31,0.0045786956,0.0,247209,1112333600000.0,-124352848.3021568,7.748603820800781e-07,40
162,258.6636953353882,-0.004703339,8.479717,2049.0,0.005324195,0.0,329169,914990960000.0,-72950425.53149459,4.2498111724853516e-05,40
203,311.2626633644104,-0.0044043097,8.480488,2039.15,0.0044411956,0.0,412193,40647307000.0,-28431711.33617517,3.522634506225586e-05,41
243,363.46896982192993,-0.0036592023,8.479048,2039.15,0.0041398094,0.0,494153,94708350000.0,-15780810.149114475,-1.1682510375976562e-05,40
283,416.3271601200104,-0.0046698265,8.470211,2039.15,0.0049662804,0.0,576113,616481300000.0,-7949716.374261593,2.6404857635498047e-05,40
324,468.56364274024963,-0.0042729,8.464512,2028.54,0.0044380226,0.0,658076,101043820000.0,-8603356.052125707,-0.0008108615875244141,41
364,520.9980773925781,-0.0048668813,8.453737,2028.54,0.004826914,0.0,740036,127114265000.0,-8861495.348079018,-0.00013148784637451172,40
405,573.3991339206696,-0.0047139334,8.450207,2021.53,0.00575568,0.0,823344,318543070000.0,-6261271.268668416,-0.0007742643356323242,41
445,625.8592908382416,-0.0050509376,8.440687,2041.99,0.005378441,0.0,905304,5165057000.0,-6621893.7270959485,-0.00014281272888183594,40
486,677.8728704452515,-0.0053718714,8.441761,2033.51,0.004621251,0.0,988465,1089757450000.0,-6158269.116375537,-0.0001785755157470703,41
527,730.6609003543854,-0.004307398,8.445942,2030.0,0.0045457548,0.0,1071422,20431310000.0,-9700424.757213501,1.4722347259521484e-05,41
